FIPS,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
13095,4.3,"42,629",58.6
13097,3.4,"79,242",108.9
13099,3.9,"43,417",59.7
13101,2.8,"47,195",64.9
13103,2.6,"88,111",121.1
13105,3.6,"49,220",67.7
13107,4.2,"46,975",64.6
13109,2.9,"45,163",62.1
13111,2.8,"60,604",83.3
13113,3.0,"109,358",150.3
13115,3.2,"56,651",77.9
13117,2.5,"130,909",180.0
13119,3.2,"49,940",68.7
13121,3.4,"89,798",123.4
13123,3.1,"68,294",93.9
13125,3.4,"55,539",76.4
13127,2.8,"63,532",87.3
13129,3.0,"63,946",87.9
13131,3.1,"48,548",66.7
13133,3.3,"74,488",102.4
13135,2.9,"83,918",115.4
13137,3.1,"62,428",85.8
13139,2.4,"76,789",105.6
13141,5.5,"38,570",53.0
13143,3.2,"57,912",79.6
13145,2.8,"90,636",124.6
13147,2.9,"56,137",77.2
13149,3.1,"56,724",78.0
13151,3.5,"82,379",113.2
13153,2.9,"71,237",97.9
13155,3.9,"49,224",67.7
13157,2.1,"82,138",112.9
13159,2.9,"63,718",87.6
13161,4.3,"46,143",63.4
13163,4.0,"44,459",61.1
13165,5.0,"41,830",57.5
13167,2.9,"42,603",58.6
13169,3.1,"65,515",90.1
13171,3.4,"61,542",84.6
13173,3.8,"50,671",69.7
13175,4.1,"47,918",65.9
13177,2.8,"84,260",115.8
13179,3.3,"59,807",82.2
13181,3.8,"69,776",95.9
13183,3.2,"71,285",98.0
13185,3.5,"52,623",72.3
13187,2.7,"71,486",98.3
13189,4.9,"50,593",69.6
13191,3.0,"51,411",70.7
13193,4.2,"40,089",55.1
13195,2.9,"58,789",80.8
13197,3.6,"47,174",64.9
13199,3.9,"53,019",72.9
13201,2.7,"45,201",62.1
13205,3.7,"45,296",62.3
13207,2.9,"76,428",105.1
13209,3.9,"48,356",66.5
13211,2.8,"74,340",102.2
13213,4.1,"62,109",85.4
13215,4.2,"53,740",73.9
13217,3.8,"72,128",99.2
13219,2.4,"114,758",157.8
13221,2.8,"62,504",85.9
13223,2.9,"87,459",120.2
13225,3.8,"58,471",80.4
13227,2.7,"71,955",98.9
13229,3.1,"52,695",72.4
13231,2.7,"80,626",110.8
13233,3.3,"54,894",75.5
13235,3.5,"46,975",64.6
13237,3.8,"62,241",85.6
13239,5.2,"41,516",57.1
13241,3.0,"63,387",87.1
13243,4.2,"39,188",53.9
13245,4.6,"50,079",68.8
13247,3.7,"71,984",99.0
13249,3.3,"57,510",79.1
13251,5.2,"52,713",72.5
13253,3.8,"45,223",62.2
13255,3.6,"55,086",75.7
13257,3.6,"51,980",71.5
13259,3.3,"41,158",56.6
13261,4.5,"44,677",61.4
13263,3.3,"45,163",62.1
13265,3.8,"42,138",57.9
13267,3.2,"47,401",65.2
13269,4.2,"44,035",60.5
13271,6.6,"41,547",57.1
13273,4.5,"53,281",73.2
13275,3.5,"52,236",71.8
13277,2.9,"52,962",72.8
13279,3.8,"45,125",62.0
13281,4.2,"59,273",81.5
13283,4.3,"43,533",59.8
13285,2.8,"55,852",76.8
13287,4.0,"40,865",56.2
13289,4.9,"48,772",67.0
13291,2.8,"64,588",88.8
13293,3.5,"48,061",66.1
13295,3.0,"53,407",73.4
13297,3.0,"83,037",114.2
13299,3.3,"48,245",66.3
13301,4.1,"44,367",61.0
13303,4.2,"48,462",66.6
13305,3.3,"51,102",70.3
13307,3.6,"45,987",63.2
13309,5.6,"35,952",49.4
13311,2.3,"62,100",85.4
13313,3.9,"61,680",84.8
13315,3.5,"44,905",61.7
13317,3.7,"47,377",65.1
13319,3.8,"49,648",68.3
13321,3.2,"48,956",67.3
15000,3.0,"93,683",100.0
15001,3.0,"71,143",75.9
15003,2.7,"96,304",102.8
15007,2.6,"81,939",87.5
15009,4.4,"89,794",95.8
16000,3.1,"72,634",100.0
16001,2.7,"87,748",120.8
16003,6.0,"56,374",77.6
16005,3.1,"62,120",85.5
16007,2.8,"66,006",90.9
16009,5.0,"56,188",77.4
16011,3.1,"70,052",96.4
16013,2.7,"98,707",135.9
16015,4.2,"74,121",102.0
16017,4.3,"64,860",89.3
16019,2.6,"74,505",102.6
16021,4.7,"62,801",86.5
16023,3.9,"57,085",78.6
16025,3.2,"73,311",100.9
16027,3.4,"70,594",97.2
16029,3.1,"70,354",96.9
16031,2.6,"68,170",93.9
16033,3.2,"53,366",73.5
