FIPS,POP_ESTIMATE_2023
25017,"1,623,952"
25019,"14,444"
25021,"727,473"
25023,"535,308"
25025,"768,425"
25027,"866,866"
26000,"10,037,261"
26001,"10,489"
26003,"8,757"
26005,"121,939"
26007,"28,904"
26009,"24,409"
26011,"15,145"
26013,"8,310"
26015,"63,808"
26017,"102,500"
26019,"18,441"
26021,"152,261"
26023,"45,215"
26025,"133,366"
26027,"51,642"
26029,"26,159"
26031,"26,048"
26033,"36,264"
26035,"31,316"
26037,"79,720"
26039,"13,538"
26041,"36,790"
26043,"25,982"
26045,"108,820"
26047,"34,123"
26049,"401,522"
26051,"25,853"
26053,"14,224"
26055,"96,421"
26057,"41,368"
26059,"45,587"
26061,"37,599"
26063,"30,927"
26065,"284,637"
26067,"66,262"
26069,"25,373"
26071,"11,740"
26073,"64,118"
26075,"159,424"
26077,"262,215"
26079,"18,490"
26081,"661,354"
26083,"2,172"
26085,"12,734"
26087,"88,977"
26089,"23,019"
26091,"97,520"
26093,"196,757"
26095,"6,435"
26097,"10,851"
26099,"875,101"
26101,"25,562"
26103,"66,999"
26105,"29,159"
26107,"41,099"
26109,"22,945"
26111,"84,039"
26113,"15,311"
26115,"155,045"
26117,"68,154"
26119,"9,678"
26121,"176,564"
26123,"51,108"
26125,"1,270,426"
26127,"26,981"
26129,"20,990"
26131,"5,906"
26133,"23,330"
26135,"8,545"
26137,"25,747"
26139,"303,372"
26141,"13,285"
26143,"23,863"
26145,"187,782"
26147,"159,874"
26149,"60,878"
26151,"40,368"
26153,"8,149"
26155,"68,025"
26157,"52,826"
26159,"75,798"
26161,"365,536"
26163,"1,751,169"
26165,"34,122"
27000,"5,737,915"
27001,"16,102"
27003,"372,441"
27005,"35,283"
27007,"46,718"
27009,"41,600"
27011,"5,105"
27013,"70,006"
27015,"25,628"
27017,"36,825"
27019,"111,057"
27021,"31,446"
27023,"12,172"
27025,"58,535"
27027,"66,258"
27029,"8,644"
27031,"5,639"
27033,"11,319"
27035,"68,304"
27037,"447,440"
27039,"21,088"
27041,"39,953"
27043,"13,873"
27045,"21,522"
27047,"30,515"
27049,"48,035"
27051,"6,139"
27053,"1,258,713"
27055,"18,582"
27057,"22,132"
27059,"43,182"
27061,"45,365"
27063,"9,919"
27065,"16,602"
27067,"43,813"
27069,"4,060"
27071,"11,751"
27073,"6,630"
27075,"10,855"
27077,"3,778"
27079,"29,255"
27081,"5,521"
27083,"25,427"
27085,"36,785"
27087,"5,280"
27089,"8,810"
27091,"19,657"
27093,"23,490"
27095,"27,427"
27097,"34,250"
27099,"40,058"
27101,"8,049"
27103,"34,242"
27105,"21,727"
27107,"6,329"
27109,"164,784"
27111,"60,626"
27113,"13,714"
27115,"30,197"
27117,"9,245"
27119,"30,412"
27121,"11,400"
27123,"536,075"
27125,"3,911"
27127,"15,288"
27129,"14,348"
27131,"67,948"
27133,"9,551"
27135,"15,252"
27137,"200,514"
27139,"155,814"
27141,"102,206"
27143,"15,084"
27145,"160,977"
27147,"37,421"
27149,"9,728"
27151,"9,719"
27153,"25,667"
27155,"3,136"
27157,"21,683"
27159,"14,241"
27161,"18,981"
27163,"278,936"
27165,"11,077"
27167,"6,306"
27169,"49,721"
27171,"151,150"
27173,"9,467"
28000,"2,939,690"
28001,"28,746"
28003,"34,135"
28005,"12,442"
28007,"17,359"
28009,"7,438"
28011,"28,968"
28013,"12,685"
28015,"9,535"
28017,"16,866"
28019,"8,088"
28021,"8,617"
28023,"15,228"
28025,"18,206"
28027,"20,077"
28029,"27,664"
28031,"18,059"
28033,"193,247"
28035,"78,208"
28037,"7,610"
28039,"25,619"
28041,"13,601"
28043,"21,065"
28045,"46,159"
28047,"210,612"
28049,"214,870"
28051,"15,777"
28053,"7,216"
28055,"1,256"
28057,"24,093"
28059,"146,389"
28061,"16,013"
28063,"6,941"
28065,"10,969"
28067,"66,250"
28069,"8,584"
28071,"58,467"
28073,"66,217"
28075,"70,527"
28077,"11,741"
28079,"21,258"
28081,"82,799"
28083,"26,378"
28085,"34,702"
28087,"57,283"
28089,"112,511"
28091,"24,224"
28093,"34,123"
28095,"33,609"
28097,"9,600"
28099,"28,789"
28101,"21,019"
28103,"9,914"
28105,"51,203"
28107,"32,669"
28109,"57,978"
28111,"11,315"
28113,"39,394"
28115,"31,535"
28117,"25,135"
28119,"5,546"
28121,"160,417"
28123,"27,507"
28125,"3,336"
28127,"25,715"
28129,"14,099"
28131,"18,756"
28133,"24,468"
28135,"11,837"
28137,"28,261"
28139,"21,287"
28141,"18,507"
28143,"9,234"
28145,"28,284"
28147,"13,863"
28149,"42,298"
28151,"41,946"
28153,"19,703"
28155,"9,988"
28157,"8,058"
28159,"17,416"
28161,"12,386"
28163,"25,796"
29000,"6,196,156"
29001,"25,122"
29003,"18,127"
29005,"5,107"
29007,"24,394"
29009,"35,265"
29011,"11,731"
29013,"16,242"
29015,"20,552"
29017,"10,544"
29019,"189,463"
29021,"82,956"
29023,"41,948"
29025,"8,955"
29027,"44,731"
29029,"44,044"
29031,"82,984"
29033,"8,391"
29035,"5,303"
29037,"111,732"
29039,"14,672"
29041,"7,399"
